"player_name","fant_pos","g.x","r_att","r_yds","rya","rtd","tgt","rec","rec_yds","rec_y_r","rec_td","fmb","fl","td","ppr","pos","ybc","yac","brk_tkl"
"Reggie Bonnafon","RB",2,12,69,5.75,0,2,2,18,9,1,0,0,1,16.7,NA,49,20,0
"Tyler Ervin","RB",6,12,67,5.58,0,14,10,81,8.1,0,0,0,0,24.8,NA,48,19,1
"D'Ernest Johnson","RB",8,29,142,4.9,0,3,2,9,4.5,0,1,0,0,17.1,NA,81,61,2
"T.J. Yeldon","RB",3,10,70,7,0,4,1,22,22,1,1,0,1,16.2,NA,36,34,0
"Gabe Nabers","RB",8,1,4,4,0,4,3,11,3.67,2,0,0,2,16.5,"rb",1,3,0
"Royce Freeman","RB",8,20,68,3.4,0,8,7,58,8.29,0,0,0,0,19.6,NA,35,33,1
"Tarik Cohen","RB",3,14,74,5.29,0,9,6,41,6.83,0,0,0,0,17.5,NA,52,22,1
"AJ Dillon","RB",7,23,97,4.22,0,1,1,16,16,0,0,0,0,12.3,NA,54,43,2
"Ke'Shawn Vaughn","RB",6,8,46,5.75,0,7,4,27,6.75,1,1,1,1,15.3,NA,20,26,1
"Alfred Morris","RB",2,17,95,5.59,0,1,1,4,4,0,0,0,0,10.9,NA,28,67,1
"Samaje Perine","RB",8,12,35,2.92,1,2,2,5,2.5,0,0,0,1,12,NA,16,19,0
"Troymaine Pope","RB",3,11,73,6.64,0,7,5,28,5.6,0,0,0,0,15.1,NA,49,24,0
"Ameer Abdullah","RB",8,2,7,3.5,0,2,2,23,11.5,1,0,0,1,11,NA,3,4,0
"Saquon Barkley","RB",2,19,34,1.79,0,9,6,60,10,0,0,0,0,15.4,"rb",-1,35,1
"Anthony McFarland Jr.","RB",6,17,64,3.76,0,6,4,28,7,0,0,0,0,13.2,NA,53,11,0
"Josh Adams","RB",2,3,8,2.67,1,2,2,14,7,0,0,0,1,10.2,NA,2,6,0
"Corey Clement","RB",8,18,63,3.5,0,5,4,18,4.5,0,0,0,0,12.1,NA,36,27,0
"Tevin Coleman","RB",3,21,50,2.38,0,4,3,34,11.33,0,0,0,0,11.4,"rb",10,40,3
"Ito Smith","RB",7,12,41,3.42,0,10,7,43,6.14,0,0,0,0,15.4,NA,29,12,0
"Anthony Sherman","RB",6,2,2,1,0,1,1,5,5,1,0,0,1,7.7,NA,0,2,0
"J.J. Taylor","RB",3,16,70,4.38,0,2,1,4,4,0,0,0,0,8.4,NA,37,33,0
"Ty Johnson","RB",6,6,57,9.5,0,3,1,6,6,0,0,0,0,7.3,NA,39,18,0
"Marlon Mack","RB",1,4,26,6.5,0,3,3,30,10,0,0,0,0,8.6,"rb",14,12,0
"LeSean McCoy","RB",5,6,-1,-0.17,0,14,10,61,6.1,0,0,0,0,16,NA,-3,2,0
"Patrick Ricard","RB",8,1,-1,-1,0,5,3,17,5.67,1,1,1,1,8.6,"fb",-1,0,0
"D'Onta Foreman","RB",2,10,48,4.8,0,0,0,0,NA,0,0,0,0,4.8,NA,26,22,1
"Dontrell Hilliard","RB",5,9,48,5.33,0,1,1,2,2,0,0,0,0,6,NA,19,29,1
"Salvon Ahmed","RB",1,7,38,5.43,0,0,0,0,NA,0,0,0,0,3.8,NA,33,5,1
"Trenton Cannon","RB",7,6,18,3,0,2,2,15,7.5,0,0,0,0,5.3,NA,3,15,1
"Patrick Laird","RB",8,1,-1,-1,0,4,4,28,7,0,0,0,0,6.7,NA,-1,0,0
